code,R,F,M,Àà±ð
0,146,1,49,7
1,152,1,183,0
2,170,1,34,7
3,170,1,37,7
4,2,1,164,4
5,127,1,94,7
6,73,1,99,1
7,148,1,170,3
8,157,1,159,3
9,159,1,53,7
10,159,2,160.5,2
11,133,1,230,0
12,133,1,89,7
13,8,1,72,1
14,72,1,123,1
15,79,1,188,4
16,33,1,94,1
17,52,1,202,4
18,131,1,87,7
19,7,1,89,1
20,6,1,265,4
21,6,1,67,1
22,62,2,114.5,2
23,12,1,125,1
24,155,1,111,3
25,13,1,57,1
26,133,1,272,0
27,32,2,149.5,2
28,159,1,73,7
29,12,1,43,1
30,100,1,139,3
31,170,1,83,7
32,155,1,87,7
33,142,2,33.5,2
34,161,1,117,3
35,158,1,273,0
36,1,1,74,1
37,170,1,88,7
38,3,1,82,1
39,42,1,50,1
40,59,1,241,4
41,11,1,124,1
42,133,1,117,3
43,24,1,175,4
44,35,1,34,1
45,71,1,87,1
46,30,1,176,4
47,170,1,78,7
48,59,1,207,4
49,101,1,222,0
50,73,1,33,1
51,76,1,132,3
52,11,1,80,1
53,170,1,32,7
54,37,1,94,1
55,37,1,124,1
56,3,2,31,2
57,169,1,253,0
58,169,1,64,7
59,3,1,38,1
60,129,1,144,3
61,170,1,178,0
62,133,1,204,0
63,67,1,94,1
64,133,1,31,7
65,156,1,87,7
66,133,1,164,3
67,170,1,87,7
68,52,2,185,2
69,73,1,87,1
70,9,1,128,1
71,14,1,240,4
72,11,1,38,1
73,24,3,69,6
74,170,1,52,7
75,94,2,140,2
76,14,1,79,1
77,73,1,87,1
78,131,1,89,7
79,155,1,136,3
80,33,1,89,1
81,132,1,41,7
82,73,1,87,1
83,170,1,30,7
84,133,1,33,7
85,14,1,252,4
86,131,1,174,3
87,43,1,40,1
88,157,2,168,2
89,132,1,89,7
90,132,1,87,7
91,170,1,216,0
92,110,1,144,3
93,11,1,356,4
94,72,1,87,1
95,154,1,173,3
96,14,1,119,1
97,139,1,61,7
98,110,1,229,0
99,161,1,118,3
100,68,1,94,1
